R&D Spend,Administration,Marketing Spend,State,Profit
55493.95,103057.49,214634.81,Florida,96778.92
120542.52,148718.95,311613.29,New York,152211.77
119943.24,156547.42,256512.92,Florida,132602.65
100671.96,91790.61,249744.55,California,144259.4
123334.88,108679.17,304981.62,California,149759.96
101913.08,110594.11,229160.95,Florida,146121.95
1315.46,115816.21,297114.46,Florida,49490.75
131876.9,99814.71,362861.36,New York,156991.12
144372.41,118671.85,383199.62,New York,182901.99
23640.93,96189.63,148001.11,California,71498.49
44069.95,51283.14,197029.42,California,89949.14
46014.02,85047.44,205517.64,New York,96479.51
91749.16,114175.79,294919.57,Florida,124266.9
64664.71,139553.16,137962.62,California,107404.34
134615.46,147198.87,127716.82,California,156122.51
15505.73,127382.3,35534.17,New York,69758.98
0.0,135426.92,0.0,California,42559.73
65605.48,153032.06,107138.38,New York,101004.64
72107.6,127864.55,353183.81,New York,105008.31
61994.48,115641.28,91131.24,Florida,99937.59
73994.56,122782.75,303319.26,Florida,110352.25
27892.92,84710.77,164470.71,Florida,77798.83
153441.51,101145.55,407934.54,Florida,191050.39
76253.86,113867.3,298664.47,California,118474.03
165349.2,136897.8,471784.1,New York,192261.83
130298.13,145530.06,323876.68,Florida,155752.6
162597.7,151377.59,443898.53,California,191792.06
93863.75,127320.38,249839.44,Florida,141585.52
142107.34,91391.77,366168.42,Florida,166187.94
542.05,51743.15,0.0,New York,35673.41
77044.01,99281.34,140574.81,New York,108552.04
67532.53,105751.03,304768.73,Florida,108733.99
46426.07,157693.92,210797.67,California,96712.8
1000.23,124153.04,1903.93,New York,64926.08
114523.61,122616.84,261776.23,New York,129917.04
